Parks and Recreation Facilities,Facility Type,Phone Number,URL,Location 1
Malonga Casquelourd Center for the Arts,Cultural Arts,(510) 238-7217,http://www2.oaklandnet.com/Government/o/opr/s/caprograms/OAK029782,"1428 Alice Street
Oakland, CA
(37.80294108012282, -122.26606491160106)"
Studio One Arts Center,Cultural Arts,(510) 597-5027,http://www2.oaklandnet.com/home/Government/o/opr/s/caprograms/OAK029784,"365 45th Street
Oakland, CA
(37.83331118505225, -122.257314508256)"
Digital Arts and Culinary Academy,Cultural Arts,(510) 615-5807,http://www.dacaoakland.com/index.html,"5818 International Blvd
Oakland, CA
(37.765259487095136, -122.19982085092283)"
Allendale Park,Community Gardens,(510) 238-2197,,"3711 Suter Street
Oakland, CA
(37.789918897138534, -122.20292351192393)"
Arroyo Viejo Park,Community Gardens,(510) 238-2198,http://www2.oaklandnet.com/Government/o/opr/s/cgardening/OAK031394,"79th Avenue cul-de-sac / Arthur Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Bella Vista Park,Community Gardens,(510) 238-2199,http://www2.oaklandnet.com/Government/o/opr/s/cgardening/OAK031395,"1025 East 28th Street (behind school)
Oakland, CA
(37.800360025898726, -122.2371337219185)"
Bushrod Park,Community Gardens,(510) 238-2200,,"584 59th Street
Oakland, CA
(37.844689856636734, -122.26428416976223)"
Dover Park,Community Gardens,(510) 238-2201,,"Dover Street between 57th and 58th Streets
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Lakeside Horticultural Center - Kitchen Garden,Community Gardens,(510) 238-2202,http://www2.oaklandnet.com/Government/o/opr/s/cgardening/OAK031397,"666 Bellevue Avenue
Oakland, CA
(37.80795499033483, -122.25885972773281)"
Fitzgerald Park,Community Gardens,(510) 238-2203,,"34th and Peralta Streets
Oakland, CA
(37.82593674441199, -122.28226170134877)"
Golden Gate ,Community Gardens,(510) 238-2204,http://www2.oaklandnet.com/Government/o/opr/s/cgardening/OAK031396,"1068 62nd Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Marston Campbell Park,Community Gardens,(510) 238-2205,,"16th Street and Market Street (behind school)
Oakland, CA
(37.809721968223755, -122.28040010474814)"
Mosswood Park,Community Gardens,(510) 238-2206,,"Webster Street and MacArthur Boulevard
Oakland, CA
(37.825190307127684, -122.26161326755607)"
San Antonio Park,Community Gardens,(510) 238-2207,,"East 19th Street and 16th Avenue
Oakland, CA
(37.791699554756576, -122.24100080664448)"
Tassafaronga Park,Community Gardens,(510) 238-2208,,"83rd and E Streets
Oakland, CA
(37.75170670411359, -122.184847139135)"
Temescal,Community Gardens,(510) 238-2209,http://www2.oaklandnet.com/Government/o/opr/s/cgardening/OAK031398,"876 47th Street
Oakland, CA
(37.835775327412534, -122.27190151157123)"
Verdese Carter Park,Community Gardens,(510) 238-2210,http://www2.oaklandnet.com/Government/o/opr/s/cgardening/OAK031399,"96th Avenue and Bancroft Avenue
Oakland, CA
(37.749773161750625, -122.16301160026359)"
deFremery Pool,Pools,(510) 238-2205,http://www2.oaklandnet.com/Government/o/opr/s/aquatics/OAK029283,"1269 18th Street
Oakland, CA
(37.81309442583358, -122.28766662674485)"
East Oakland Sports Center,Pools,(510) 615-5838,http://www2.oaklandnet.com/Government/o/opr/s/aquatics/OAK029284,"9161 Edes Avenue
Oakland, CA
(37.73806024377812, -122.18950394621689)"
Fremont Pool,Pools,(510) 535-5614,http://www2.oaklandnet.com/Government/o/opr/s/aquatics/OAK029285,"4550 Foothill Boulevard
Oakland, CA
(37.773983140548886, -122.2101649285588)"
Lions Pool,Pools,(510) 482-7852,http://www2.oaklandnet.com/Government/o/opr/s/aquatics/OAK029286,"3860 Hanly Road
Oakland, CA
(37.807082984075336, -122.21441669084938)"
Live Oak Pool,Pools,(510) 238-2292,http://www2.oaklandnet.com/Government/o/opr/s/aquatics/OAK029287,"1055 MacArthur Boulevard
Oakland, CA
(37.80505448689166, -122.23588366429777)"
Temescal Pool,Pools,(510) 597-5013,http://www2.oaklandnet.com/Government/o/opr/s/aquatics/OAK029288,"371 45th Street
Oakland, CA
(37.833295153828544, -122.25756483262023)"
Dunsmuir Hellman Historic Estate,Rental Facility,(510) 615-5555,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029213,"2960 Peralta Oaks Court
Oakland, CA
(37.743835288569976, -122.14465461547375)"
Lakeside Park Garden Center,Rental Facility,(510) 238-3187,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029372,"666 Bellevue Avenue
Oakland, CA
(37.80795499033483, -122.25885972773281)"
Lake Merritt Sail Boat House,Rental Facility,(510) 238-3187,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029374,"568 Bellevue Avenue
Oakland, CA
(37.80676133380701, -122.25662479804541)"
Sequoia Lodge,Rental Facility,(510) 238-3187,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029376,"2666 Mountain Blvd
Oakland, CA
(37.81439844277611, -122.20107090854356)"
Leona Lodge,Rental Facility,(510) 238-3187,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029371,"444 Mountain Blvd
Oakland, CA
(37.846029739449534, -122.22677090282403)"
Joaquin Miller Community Center & Woodminister Cascades,Rental Facility,(510) 238-3187,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029373,"3594 Sanborn Drive
Oakland, CA
(37.810588650671264, -122.1927861432349)"
Morcom Rose Garden,Rental Facility,(510) 238-3187,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029375,"700 Jean Street
Oakland, CA
(37.819302320445075, -122.24605202369963)"
Jack London Aquatic Center,Rental Facility,(510) 238-3187,http://www2.oaklandnet.com/Government/o/opr/s/rental/OAK029816,"115 Embarcadero
Oakland, CA
(37.790835211317756, -122.26338995983754)"
Arroyo Viejo Recreation Center,ADA Inclusion Center,(510) 615-5980,http://www2.oaklandnet.com/Government/o/opr/s/ADAInclusionCenter/index.htm,"7701 Krause Avenue
Oakland, CA
(37.762633466769614, -122.17619566121311)"
Carter Gilmore,Athletic Field,(510) 238-3496,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"1390 - 66th Ave
Oakland, CA
(37.76201573422819, -122.19328855344361)"
Carter Gilmore #1 SB,Athletic Field,(510) 238-3497,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"66th Ave
Oakland, CA
(37.75394246701459, -122.20801895775759)"
Carter Gilmore #2 SB,Athletic Field,(510) 238-3498,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"66th Ave
Oakland, CA
(37.75394246701459, -122.20801895775759)"
Carter Gilmore #3 HB,Athletic Field,(510) 238-3499,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"69th Avenue
Oakland, CA
(37.755447883755494, -122.19840891533684)"
Central Reservoir,Athletic Field,(510) 238-3500,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"18th Avenue &amp; E. 24th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Chabot,Athletic Field,(510) 238-3501,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"Chabot Rd &amp; Golden Gate Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Curt Flood,Athletic Field,(510) 238-3502,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"School Street &amp; Coolidge Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
deFremery,Athletic Field,(510) 238-3503,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"16th Street &amp; Poplar Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Franklin,Athletic Field,(510) 238-3504,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"Foothill Blvd &amp; 11th Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Garfield,Athletic Field,(510) 238-3505,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"Foothill Blvd &amp; 23rd Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Golden Gate,Athletic Field,(510) 238-3506,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"1075 - 62nd Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Jefferson Square,Athletic Field,(510) 238-3507,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"7th Avenue &amp; Grove Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
"Jones ""Pinto"" Field",Athletic Field,(510) 238-3508,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"5000 Redwood Road
Oakland, CA
(37.79609723947982, -122.17513446121853)"
Lazear Field,Athletic Field,(510) 238-3509,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"29th Avenue &amp; E 10th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Lowell,Athletic Field,(510) 238-3510,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"991 - 14th St
Oakland, CA
(37.808779549965635, -122.28277441862707)"
"Marshall, ""John Marshall""",Athletic Field,(510) 238-3511,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"3400 Malcolm Avenue
Oakland, CA
(37.746805399053926, -122.14093324444428)"
McConnell,Athletic Field,(510) 238-3512,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"7921 Olive Street
Oakland, CA
(37.76125655356008, -122.17386978503461)"
Montclair,Athletic Field,(510) 238-3513,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"6300 Moraga Avenue
Oakland, CA
(37.828526809031004, -122.21243443299211)"
Mosswood,Athletic Field,(510) 238-3514,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"3612 Webster Street
Oakland, CA
(37.82388635030956, -122.26190991013061)"
Oak Port,Athletic Field,(510) 238-3515,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"5885 Oak Port Road
Oakland, CA
(37.75319901662205, -122.21087091125162)"
Otis Spunkmeyer Field,Athletic Field,(510) 238-3516,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"Corner of Doolittle Drive and Harbor Bay Parkway
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Poplar,Athletic Field,(510) 238-3517,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"3131 Union Street
Oakland, CA
(37.823373676628535, -122.2835117589695)"
"Raimondi, ""Ernie Raimondi""",Athletic Field,(510) 238-3518,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"18th Street &amp; Wood Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Robin Perry,Athletic Field,(510) 238-3519,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"Joaquin Miller Rd.
Oakland, CA
(37.808309697023326, -122.18069380151219)"
San Antonio,Athletic Field,(510) 238-3520,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"1705 E 19th Street
Oakland, CA
(37.790981632928265, -122.23988607688302)"
Shepard Canyon,Athletic Field,(510) 238-3521,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"Shepard Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Sobrante,Athletic Field,(510) 238-3522,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"470 El Paso Dr
Oakland, CA
(37.728324331351814, -122.17741873917299)"
